"Date","Price","Open","High","Low","Vol.","Change %"
"May 25, 2016","210.35","209.75","210.85","209.71","2.45M","0.67%"
"May 24, 2016","208.94","207.25","209.32","207.20","2.62M","1.30%"
"May 23, 2016","206.26","206.55","206.90","206.04","2.12M","-0.14%"
"May 20, 2016","206.54","205.99","207.16","205.90","2.66M","0.61%"
"May 19, 2016","205.29","205.08","205.58","203.80","3.84M","-0.35%"
"May 18, 2016","206.02","205.48","207.35","204.69","4.26M","0.01%"
"May 17, 2016","206.00","207.52","207.87","205.29","4.34M","-0.88%"
"May 16, 2016","207.83","206.00","208.41","205.95","2.64M","1.01%"
"May 13, 2016","205.75","207.25","207.91","205.44","4.86M","-0.92%"
"May 12, 2016","207.67","208.36","208.55","206.44","3.35M","0.05%"
"May 11, 2016","207.57","208.98","209.40","207.57","3.12M","-0.93%"
"May 10, 2016","209.52","207.79","209.54","207.72","2.89M","1.21%"
"May 09, 2016","207.01","206.63","207.43","206.43","2.84M","0.10%"
"May 06, 2016","206.81","205.13","206.81","204.94","2.38M","0.39%"
"May 05, 2016","206.01","206.59","207.01","205.51","2.17M","-0.03%"
"May 04, 2016","206.07","206.05","206.89","205.48","2.47M","-0.57%"
"May 03, 2016","207.25","207.55","207.86","206.36","3.41M","-0.88%"
"May 02, 2016","209.08","208.01","209.26","207.48","3.48M","0.78%"
"Apr 29, 2016","207.46","207.81","208.19","206.10","4.36M","-0.54%"
"Apr 28, 2016","208.58","209.55","210.85","208.03","4.42M","-0.87%"
"Apr 27, 2016","210.40","209.51","210.90","209.14","2.82M","0.19%"
"Apr 26, 2016","210.01","210.13","210.60","209.45","2.23M","0.17%"
"Apr 25, 2016","209.66","209.37","209.69","208.61","2.77M","-0.18%"
"Apr 22, 2016","210.03","209.64","210.35","209.00","3.29M","-0.01%"
"Apr 21, 2016","210.06","211.21","211.33","209.73","2.97M","-0.50%"
"Apr 20, 2016","211.11","211.03","212.00","210.48","2.46M","0.08%"
"Apr 19, 2016","210.95","210.81","211.28","210.02","3.40M","0.30%"
"Apr 18, 2016","210.31","208.20","210.35","208.07","3.48M","0.73%"
"Apr 15, 2016","208.79","209.12","209.17","208.48","2.83M","-0.16%"
"Apr 14, 2016","209.12","209.14","209.66","208.68","2.51M","0.01%"
"Apr 13, 2016","209.10","208.05","209.16","207.91","3.20M","1.00%"
"Apr 12, 2016","207.02","205.27","207.32","204.75","2.45M","0.99%"
"Apr 11, 2016","205.00","206.30","207.11","204.95","2.75M","-0.28%"
"Apr 08, 2016","205.58","206.38","206.88","204.92","2.43M","0.30%"
"Apr 07, 2016","204.97","206.22","206.59","204.13","7.19M","-1.21%"
"Apr 06, 2016","207.48","205.34","207.54","205.02","2.90M","1.08%"
"Apr 05, 2016","205.26","205.75","206.27","204.93","3.06M","-0.98%"
"Apr 04, 2016","207.29","207.92","208.12","206.95","3.05M","-0.33%"
"Apr 01, 2016","207.97","205.41","208.20","205.05","4.13M","0.64%"
"Mar 31, 2016","206.65","206.96","207.45","206.38","4.61M","-0.23%"
"Mar 30, 2016","207.13","207.33","207.91","206.65","2.76M","0.42%"
"Mar 29, 2016","206.26","203.81","206.26","203.43","3.93M","0.95%"
"Mar 28, 2016","204.31","204.67","204.88","203.75","2.28M","0.06%"
"Mar 24, 2016","204.18","203.05","204.20","202.77","3.32M","-0.06%"
"Mar 23, 2016","204.30","205.13","205.36","204.05","2.98M","-1.19%"
"Mar 22, 2016","206.75","205.92","207.40","205.73","4.60M","-0.06%"
"Mar 21, 2016","206.87","206.25","207.11","205.96","4.76M","0.15%"
